language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes
Ingrian		I	1209		miæ	2293	m i æ	
Komi-Permyak		I	1209		me	2293	m e	
Komi-Zyrian		I	1209		me	2293	m e	
Nganasan		I	1209		mənə	2293	m ə n ə	
Selkup		I	1209		mɑn	2293	m ɑ n	
Udmurt		I	1209		mon	2293	m o n	
Erzya		I	1209		mon	2293	m o n	
Erzya		all	98		veɕe	2296	v e ɕ e	
Ingrian		all	98		kɑi	2294	k ɑ i	
Komi-Permyak		all	98		bɯdɤs	2297	b ɯ d ɤ s	
Komi-Zyrian		all	98		bɯd	2297	b ɯ d	
Komi-Zyrian		all	98		stɑv	2300	s t ɑ v	
Nganasan		all	98		bənsə	2296	b ə n s ə	
Selkup		all	98		muntə	2301	m u n t ə	
Udmurt		all	98		vɑɲmɯz	2302	v ɑ ɲ m ɯ z	
Erzya		and	1577		i	2303	i	
Ingrian		and	1577		jɑ	2309	j ɑ	
Ingrian		and	1577		i	2303	i	
Ingrian		and	1577		tɑ	2312	t ɑ	
Komi-Permyak		and	1577		i	2303	i	
Komi-Permyak		and	1577		dɑ	2312	d ɑ	
Komi-Zyrian		and	1577		i	2303	i	
Komi-Zyrian		and	1577		dɑ	2312	d ɑ	
Selkup		and	1577		ɑj	2309	ɑ j	
Udmurt		and	1577		i	2303	i	
Udmurt		and	1577		dɑ	2312	d ɑ	
Erzya		and	1577		di	2312	d i	
Erzya		animal	619		ʑverʲ	1	ʑ v e rʲ	
Erzya		animal	619		rɑkʃɑ	2321	r ɑ k ʃ ɑ	
Ingrian		animal	619		elog̊ɑz	2317	e l o ɡ̥ ɑ z	
Komi-Permyak		animal	619		vɤrpi	2326	v ɤ r p i	
Komi-Zyrian		animal	619		zvʲer	1	z vʲ e r	
Komi-Zyrian		animal	619		pemɤs	2324	p e m ɤ s	
Nganasan		animal	619		dʲɑməðə	2328	dʲ ɑ m ə ð ə	
Selkup		animal	619		suːrəm	2323	s uː r ə m	
Udmurt		animal	619		pɤjʃur	2325	p ɤ j ʃ u r	
Erzya		ashes	646		kulov	2336	k u l o v	
Ingrian		ashes	646		poro	2330	p o r o	
Komi-Permyak		ashes	646		pɤjim	2333	p ɤ j i m	
Komi-Zyrian		ashes	646		pɤjim	2333	p ɤ j i m	
Nganasan		ashes	646		tuː_dʲoəʔ	2337	t uː _ dʲ o ə ʔ	
Selkup		ashes	646		ɕiːmə	2335	ɕ iː m ə	
Udmurt		ashes	646		peɲ	2333	p e ɲ	
Erzya		at	1461		kedʲse	2340	k e dʲ s e	
Erzya		at	1461		peʎe	2343	p e ʎ e	
Ingrian		at	1461		loːn	2338	l oː n	
Komi-Permyak		at	1461		sɑjɯn	2348	s ɑ j ɯ n	
Komi-Permyak		at	1461		dɯnɯn	2351	d ɯ n ɯ n	
Komi-Zyrian		at	1461		dorɯn	2341	d o r ɯ n	
Komi-Zyrian		at	1461		ordɯn	2342	o r d ɯ n	
Selkup		at	1461		nɑːnə	2347	n ɑː n ə	
Udmurt		at	1461		dorɯn	2341	d o r ɯ n	
Udmurt		at	1461		urtsɯn	2342	u r t s ɯ n	
Erzya		bark	1204		kerʲ	2352	k e rʲ	
Erzya		bark	1204		sud	2354	s u d	
